Model,Accuracy,Recall,Precision,F1-Score,ROC-AUC
Logistic Regression,0.5874548353593423,0.7290285384837129,0.29272527345332483,0.4177230870875831,0.693254587830233
Random Forest,0.5892394786501075,0.6958777745748054,0.28810120539443845,0.4074949358541526,0.6752449533146572
Gradient Boosting,0.5809160193677682,0.7374603632170654,0.29038849002525613,0.416695510536496,0.6949772567064654
XGBoost,0.5925600854288264,0.7192274430671663,0.2940743141703745,0.41745968669608685,0.6923974655050502
LightGBM,0.5941253053641696,0.7186509080426636,0.29490743479032355,0.4182008806877752,0.6945104475876253
CatBoost,0.5957344099705972,0.7091380801383684,0.2942583732057416,0.4159269591681461,0.6898243631574914
"SVM (Linear, 10% Sample)",0.3789441348137096,0.6428365523205535,0.19215855234812582,0.29587368979700146,0.4606780296850726
Ensemble (Voting),0.5974459121428884,0.7074084750648602,0.2949962434259955,0.41636444614112106,0.6904528072327343
